Subject,ActivityName,Offset,body_acc_x,body_acc_y,body_acc_z,body_gyro_x,body_gyro_y,body_gyro_z,Activity,WindowID
1,Walking,1,-0.049265196,1.00598769,9.751142124,-0.15910437,1.243677261,-0.042763699,1,1
1,Walking,2,0.288894492,0.968798822,9.503944105,0.088215131,0.855252175,-0.005266326,1,1
1,Walking,3,-0.252197219,1.090146959,10.01318183,0.123054537,1.043916251,-0.044373925,1,1
1,Walking,4,0.022782496,1.230232159,10.04771018,0.337925209,1.03251624,0.026998346,1,1
1,Walking,5,-0.063381055,0.936031507,9.986977151,0.110702281,1.20767042,-0.044353235,1,1
1,Walking,6,0.087741072,0.926295831,9.834962208,0.299860487,0.811969008,-0.031181339,1,1
1,Walking,7,0.287815941,0.757877707,10.15714075,0.119817545,0.872834491,-0.008930252,1,1
1,Walking,8,0.188626163,0.729479688,10.01897551,0.125329559,1.135462357,-0.052924249,1,1
1,Walking,9,0.817871106,0.854117134,9.901394063,0.293292173,1.112645347,0.00622681,1,1
1,Walking,10,0.625218445,1.173670858,9.563721001,0.312713647,1.000235785,0.076372387,1,1
1,Walking,11,0.657424833,0.680417683,9.909326471,0.398871727,0.905770852,-0.074558958,1,1
1,Walking,12,0.610705322,0.70262492,9.803700454,0.365146045,0.962095393,0.079786203,1,1
1,Walking,13,0.707747342,0.324507315,9.956611408,0.295689944,0.848207529,-0.037318919,1,1
1,Walking,14,0.224826586,0.485741493,9.844510123,0.399898928,0.989366886,-0.070364614,1,1
1,Walking,15,0.813152632,0.754930723,9.693986937,0.573114821,0.960919688,0.012374528,1,1
1,Walking,16,0.771668697,0.718693503,9.677251774,0.425056078,0.846849379,-0.026012678,1,1
1,Walking,17,1.082418271,0.668928426,9.683998662,0.4945557,0.738119517,0.00968278,1,1
1,Walking,18,1.019403012,0.471478646,9.973810677,0.607568676,0.653521213,0.026945742,1,1
1,Walking,19,0.847443539,0.628676409,9.765995567,0.500020966,0.781990608,0.045699484,1,1
1,Walking,20,1.192788905,0.434421018,9.727517244,0.532072234,0.739437823,-0.125292812,1,1
1,Walking,21,0.872402973,0.731754858,9.892037901,0.632887153,0.779223634,0.057072215,1,1
1,Walking,22,1.051225073,0.065461723,9.376118396,0.717100695,0.681609471,-0.013356479,1,1
1,Walking,23,1.151090266,0.242899752,9.407739131,0.803441608,0.641350714,0.005202359,1,1
1,Walking,24,0.683923124,0.154592531,9.458747265,0.727549296,0.654464235,-0.078350457,1,1
1,Walking,25,0.880741883,-0.226247017,10.01242095,0.798946633,0.414701601,-0.09468636,1,1
1,Walking,26,0.843653078,0.050629048,9.892181834,0.775717347,0.601799402,0.066258459,1,1
1,Walking,27,0.938889896,-0.143690349,9.608902911,0.862904398,0.521841845,0.028689675,1,1
1,Walking,28,1.206691212,0.128377069,9.954541536,0.807589257,0.540805525,0.031530851,1,1
1,Walking,29,1.375520953,-0.104015233,9.512348934,0.758374473,0.465455403,-0.063535871,1,1
1,Walking,30,1.099834228,0.020772152,9.838935993,0.880268781,0.468131325,-0.010582833,1,1
1,Walking,31,0.802220831,-0.295585093,9.589267222,0.982406142,0.608172555,-0.015586481,1,1
1,Walking,32,1.035831368,-0.312743178,9.413909624,0.879419423,0.377884117,-0.148057161,1,1
1,Walking,33,0.830943386,-0.361572855,9.759636854,0.85796745,0.399516994,0.077192997,1,1
1,Walking,34,0.835052894,-0.182322603,9.943456217,0.918127484,0.156823971,0.001124168,1,1
1,Walking,35,0.663047233,-0.281209263,10.0441403,0.982192489,0.358921329,0.050588308,1,1
1,Walking,36,0.705901671,-0.84104338,9.536391984,0.959501677,0.099611105,-0.04786847,1,1
1,Walking,37,0.971918541,-0.527326302,9.682787282,0.713369299,0.227071032,0.064501048,1,1
1,Walking,38,1.039775156,-0.874129128,9.62316357,0.960707057,0.093811433,0.01529012,1,1
1,Walking,39,0.886856431,-0.891129032,9.562313225,1.041385227,-0.056017998,-0.001218569,1,1
1,Walking,40,0.580110849,-0.666646311,9.357058124,1.310317402,0.04008375,0.028182886,1,1
1,Walking,41,0.509839874,-0.908382279,9.861828516,1.188212595,0.281817547,0.002908653,1,1
1,Walking,42,0.83382506,-0.857407601,10.11073893,0.950744531,0.09533217,-0.012424795,1,1
1,Walking,43,0.550812791,-0.526009804,9.803608937,0.962937687,0.232711912,-0.002039991,1,1
1,Walking,44,0.802787467,-0.717449329,9.551040546,1.057469329,-0.195814938,0.039612294,1,1
